,,Loose Running C11/h11,Loose Running C11/h11,Loose Running C11/h11,Free Running D9/h9,Free Running D9/h9,Free Running D9/h9,Close Running F8/h7,Close Running F8/h7,Close Running F8/h7,Sliding G7/h6,Sliding G7/h6,Sliding G7/h6,Locational Clearance H7/h6,Locational Clearance H7/h6,Locational Clearance H7/h6
"Basic
Size",,Hole,Shaft,Fit,Hole,Shaft,Fit,Hole,Shaft,Fit,Hole,Shaft,Fit,Hole,Shaft,Fit
30,Max,30.24,30,0.37,30.117,30,0.169,30.053,30,0.074,30.028,30,0.041,30.021,30,0.034
30,Min,30.11,29.87,0.11,30.065,29.948,0.065,30.02,29.979,0.02,30.007,29.987,0.007,30,"29,987",0
40,Max,40.28,40,0.44,40.142,40,0.204,40.064,40,0.089,40.034,40,0.05,40.025,40,0.041
40,Min,40.12,39.84,0.12,40.08,39.938,0.08,40.025,"39,975",0.025,40.009,39.984,0.009,40,"39,984",0
50,Max,50.29,50,0.45,50.142,50,0.204,50.064,50,0.089,50.034,50,0.05,50.025,50,0.041
50,Min,50.13,49.84,0.13,50.08,49.938,0.08,50.025,"49,975",0.025,50.009,49.984,0.009,50,49.984,0
60,Max,60.33,60,0.52,60.174,60,0.248,60.076,60,0.106,60.04,60,0.059,60.03,60,0.049
60,Min,60.14,59.81,0.14,60.1,59.926,0.1,60.03,59.97,0.03,60.01,59.981,0.01,60,59.981,0
80,Max,80.34,80,0.53,80.174,80,0.248,80.076,80,0.106,80.04,80,0.059,80.03,80,0.049
80,Min,80.15,79.81,0.15,80.1,"79,926",0.1,80.03,79.97,0.03,80.01,"79,981",0.01,"80,000",79.981,0
100,Max,100.39,100,0.61,100.207,100,0.294,100.09,100,0.125,100.047,100,0.069,100.035,100,0.057
100,Min,100.17,99.78,0.17,100.12,99.913,0.12,100.036,99.965,0.036,100.012,"99,978",0.012,100,"99,978",0
120,Max,120.4,120,0.62,120.207,120,0.294,120.09,120,0.125,120.047,120,0.069,120.035,120,0.057
120,Min,120.18,119.78,0.18,120.12,119.913,0.12,120.036,119.965,0.036,120.012,119.978,0.012,120,119.978,0
160,Max,160.46,160,0.71,160.245,160,0.345,160.106,160,0.146,160.054,160,0.079,"160,040",160,0.065
160,Min,160.21,159.75,0.21,160.145,"159,900",0.145,160.043,"159,960",0.043,160.014,159.975,0.014,"160,000","159,975",0
200,Max,200.53,200,0.82,200.285,200,0.4,200.122,200,0.168,200.061,200,0.09,200.046,200,0.075
200,Min,200.24,199.71,0.24,200.17,"199,885",0.17,200.05,199.954,0.05,200.015,199.971,0.015,200,199.971,0
250,Max,250.57,250,0.86,250.285,250,0.4,250.122,250,0.168,250.061,250,0.09,250.046,250,0.075
250,Min,"250,280",249.71,0.28,250.17,249.885,0.17,250.05,249.954,0.05,250.015,249.971,0.015,250,249.971,0
300,Max,300.65,"300,000",0.97,300.32,300,0.45,300.137,300,0.189,300.069,300,0.101,300.052,300,0.084
300,Min,300.33,"299,680",0.33,300.19,299.87,0.19,300.056,299.948,0.056,300.017,299.968,0.017,300,299.968,0
400,Max,400.76,400,1.12,400.35,400,0.49,400.151,400,0.208,400.075,400,0.111,400.057,400,0.093
400,Min,400.4,399.64,0.4,400.21,399.86,0.21,400.062,399.943,0.062,400.018,"399,964",0.018,400,"399,964",0
500,Max,500.88,500,1.28,"500,385",500,0.54,500.165,500,0.228,500.083,500,0.123,500.063,500,0.103
500,Min,500.48,499.6,0.48,500.23,499.845,0.23,500.068,"499,937",0.068,500.02,499.96,0.02,500,499.96,0
